,Administrador,Usuario,mini juego,color presionado,dificultad,Juego,botón correcto,tiempo de interacción,número de interacción,auto push,tiempo de lección,tiempo de sesión
125,7,18,4,3,0,1,1,16.58507,4.0,0.0,0.0,0.0
126,7,18,4,3,0,1,1,16.33259,5.0,0.0,0.0,0.0
127,7,18,4,3,0,1,0,20.46757,6.0,0.0,0.0,0.0
128,7,18,4,3,0,1,0,4.4,7.0,0.0,0.0,0.0
129,7,18,4,3,0,1,1,15.08388,8.0,0.0,0.0,0.0
130,7,18,4,3,0,1,0,19.00101,9.0,0.0,0.0,0.0
131,7,18,4,3,0,1,0,21.28441,10.0,0.0,0.0,0.0
132,7,18,4,3,0,1,0,4.4,11.0,0.0,0.0,0.0
133,7,18,4,3,0,1,1,4.4,12.0,0.0,0.0,0.0
134,7,18,4,4,0,1,2,0.0,0.0,0.0,0.0,0.0
135,7,18,5,0,0,1,0,0.0,1.0,0.0,0.0,0.0
136,7,18,5,1,0,1,1,4.4,2.0,0.0,0.0,0.0
137,7,18,5,2,0,1,0,11.60069,3.0,0.0,0.0,0.0
138,7,18,5,0,0,1,0,4.4,4.0,0.0,0.0,0.0
139,7,18,5,0,0,1,0,4.4,5.0,0.0,0.0,0.0
140,7,18,5,0,0,1,0,4.4,6.0,0.0,0.0,0.0
141,7,18,5,2,0,1,0,4.4,7.0,0.0,0.0,0.0
142,7,18,5,0,0,1,0,4.4,8.0,0.0,0.0,0.0
143,7,18,5,2,0,1,0,4.4,9.0,0.0,0.0,0.0
144,7,18,5,1,0,1,1,4.4,10.0,0.0,0.0,0.0
145,7,18,5,0,0,1,0,9.433975,11.0,0.0,0.0,0.0
146,7,18,5,1,0,1,1,2.910259,12.0,0.0,0.0,0.0
147,7,18,5,1,0,1,1,4.4,13.0,0.0,0.0,0.0
148,7,18,5,4,0,1,2,0.0,0.0,0.0,0.0,0.0
149,7,18,6,2,0,1,1,4.4,1.0,0.0,0.0,0.0
150,7,18,6,3,0,1,0,0.0,2.0,0.0,0.0,0.0
151,7,18,6,1,0,1,0,0.0,3.0,0.0,0.0,0.0
152,7,18,6,0,0,1,0,0.0,4.0,0.0,0.0,0.0
153,7,18,6,2,0,1,1,19.61753,5.0,0.0,0.0,0.0
154,7,18,6,2,0,1,1,17.01717,6.0,0.0,0.0,0.0
155,7,18,6,2,0,1,1,20.01748,7.0,0.0,0.0,0.0
156,7,18,6,4,0,1,2,0.0,0.0,0.0,0.0,0.0
157,7,18,7,0,0,1,1,15.7696,1.0,0.0,0.0,0.0
158,7,18,7,0,0,1,1,4.4,2.0,0.0,0.0,0.0
159,7,18,7,0,0,1,1,4.4,3.0,0.0,0.0,0.0
160,7,18,7,0,0,1,1,4.4,4.0,0.0,0.0,0.0
161,7,18,7,4,0,1,2,0.0,0.0,0.0,0.0,0.0
162,7,18,4,1,1,1,1,10.6663,1.0,0.0,0.0,0.0
163,7,18,4,1,1,1,1,7.134102,2.0,0.0,0.0,0.0
164,7,18,4,1,1,1,0,4.4,3.0,0.0,0.0,0.0
165,7,18,4,1,1,1,1,4.4,4.0,0.0,0.0,0.0
166,7,18,4,1,1,1,1,4.4,5.0,0.0,0.0,0.0
167,7,18,4,4,1,1,2,0.0,0.0,0.0,0.0,0.0
168,7,18,5,3,1,1,1,12.12303,1.0,0.0,0.0,0.0
169,7,18,5,0,1,1,0,4.4,2.0,0.0,0.0,0.0
170,7,18,5,3,1,1,1,4.4,3.0,0.0,0.0,0.0
171,7,18,5,1,1,1,0,4.4,4.0,0.0,0.0,0.0
172,7,18,5,3,1,1,1,4.4,5.0,0.0,0.0,0.0
173,7,18,5,3,1,1,1,16.44389,6.0,0.0,0.0,0.0
174,7,18,5,4,1,1,2,0.0,0.0,0.0,0.0,0.0
175,7,18,6,2,1,1,1,4.4,1.0,0.0,0.0,0.0
176,7,18,6,0,1,1,0,0.0,2.0,0.0,0.0,0.0
177,7,18,6,4,1,1,2,0.0,0.0,0.0,0.0,0.0
178,7,18,9,4,1,1,2,0.0,0.0,0.0,0.0,0.0
179,2,0,8,3,0,0,1,10.55807,1.0,0.0,0.0,0.0
180,2,0,8,3,0,0,0,1.249828,2.0,0.0,0.0,0.0
181,2,0,8,1,0,0,1,1.866516,3.0,0.0,0.0,0.0
182,2,0,8,0,0,0,0,10.09982,4.0,0.0,0.0,0.0
183,2,0,8,0,0,0,0,17.8171,5.0,0.0,0.0,0.0
184,2,0,8,2,0,0,1,19.53437,6.0,0.0,0.0,0.0
185,2,0,8,0,0,0,1,9.30055,7.0,0.0,0.0,0.0
186,2,0,8,4,0,0,2,0.0,0.0,0.0,0.0,0.0
187,2,0,0,1,0,0,1,6.65722,1.0,0.0,0.0,0.0
188,2,0,0,0,0,0,0,2.999704,2.0,0.0,0.0,0.0
189,2,0,0,0,0,0,1,3.749634,3.0,0.0,0.0,0.0
190,2,0,0,2,0,0,1,2.883984,4.0,0.0,0.0,0.0
191,2,0,0,1,0,0,1,2.550049,5.0,0.0,0.0,0.0
192,2,0,0,4,0,0,2,0.0,0.0,0.0,0.0,0.0
193,2,0,2,3,0,0,1,5.327582,1.0,0.0,0.0,0.0
194,2,0,2,3,0,0,0,5.327582,2.0,0.0,0.0,0.0
195,2,0,2,2,0,0,1,8.283599,3.0,0.0,0.0,0.0
196,2,0,2,0,0,0,1,1.967141,4.0,0.0,0.0,0.0
197,2,0,2,1,0,0,0,1.483336,5.0,0.0,0.0,0.0
198,2,0,2,1,0,0,0,2.383705,6.0,0.0,0.0,0.0
199,2,0,2,1,0,0,1,2.833506,7.0,0.0,0.0,0.0
200,2,0,2,4,0,0,2,0.0,0.0,0.0,0.0,0.0
201,2,0,3,1,0,0,1,11.01803,1.0,0.0,0.0,0.0
202,2,0,3,3,0,0,1,0.2512522,2.0,0.0,0.0,0.0
203,2,0,3,2,0,0,0,1.98388,3.0,0.0,0.0,0.0
204,2,0,3,0,0,0,1,4.217167,4.0,0.0,0.0,0.0
205,2,0,3,2,0,0,1,1.917108,5.0,0.0,0.0,0.0
206,2,0,3,4,0,0,2,0.0,0.0,0.0,0.0,0.0
207,2,0,1,1,0,0,1,7.083518,1.0,0.0,0.0,0.0
208,2,0,1,3,0,0,0,4.333547,2.0,0.0,0.0,0.0
209,2,0,1,3,0,0,0,13.46773,3.0,0.0,0.0,0.0
210,2,0,1,3,0,0,0,16.95138,4.0,0.0,0.0,0.0
211,2,0,1,3,0,0,0,4.4,5.0,0.0,0.0,0.0
212,2,0,1,3,0,0,0,4.4,6.0,0.0,0.0,0.0
213,2,0,1,3,0,0,0,4.4,7.0,0.0,0.0,0.0
214,2,0,1,3,0,0,1,4.4,8.0,0.0,0.0,0.0
215,2,0,1,2,0,0,1,3.23364,9.0,0.0,0.0,0.0
216,2,0,1,1,0,0,0,12.10013,10.0,0.0,0.0,0.0
217,2,0,1,1,0,0,1,17.9339,11.0,0.0,0.0,0.0
218,2,0,1,4,0,0,2,0.0,0.0,0.0,0.0,0.0
219,2,0,0,1,1,0,1,1.792205,1.0,0.0,0.0,0.0
220,2,0,0,0,1,0,1,3.133749,2.0,0.0,0.0,0.0
221,2,0,0,2,1,0,1,2.516809,3.0,0.0,0.0,0.0
222,2,0,0,1,1,0,1,2.183185,4.0,0.0,0.0,0.0
223,2,0,0,3,1,0,1,1.73269,5.0,0.0,0.0,0.0
224,2,0,0,4,1,0,2,0.0,0.0,0.0,0.0,0.0
225,2,0,2,3,1,0,0,2.744542,1.0,0.0,0.0,0.0
226,2,0,2,3,1,0,1,4.76146,2.0,0.0,0.0,0.0
227,2,0,2,2,1,0,1,2.616945,3.0,0.0,0.0,0.0
228,2,0,2,0,1,0,0,1.300781,4.0,0.0,0.0,0.0
229,2,0,2,0,1,0,1,4.583444,5.0,0.0,0.0,0.0
230,2,0,2,0,1,0,0,4.583444,6.0,0.0,0.0,0.0
231,2,0,2,1,1,0,1,4.283833,7.0,0.0,0.0,0.0
232,2,0,2,0,1,0,0,0.967174,8.0,0.0,0.0,0.0
233,2,0,2,0,1,0,0,3.933395,9.0,0.0,0.0,0.0
234,2,0,2,0,1,0,1,6.817503,10.0,0.0,0.0,0.0
235,2,0,2,4,1,0,2,0.0,0.0,0.0,0.0,0.0
236,2,0,3,1,1,0,1,4.367672,1.0,0.0,0.0,0.0
237,2,0,3,3,1,0,1,2.017103,2.0,0.0,0.0,0.0
238,2,0,3,0,1,0,1,3.017125,3.0,0.0,0.0,0.0
239,2,0,3,2,1,0,1,2.63356,4.0,0.0,0.0,0.0
240,2,0,3,0,1,0,1,3.383471,5.0,0.0,0.0,0.0
241,2,0,3,4,1,0,2,0.0,0.0,0.0,0.0,0.0
242,2,0,1,1,1,0,1,6.066997,1.0,0.0,0.0,0.0
243,2,0,1,0,1,0,0,5.099827,2.0,0.0,0.0,0.0
244,2,0,1,0,1,0,1,5.083561,3.0,0.0,0.0,0.0
245,2,0,1,2,1,0,0,5.883976,4.0,0.0,0.0,0.0
246,2,0,1,2,1,0,0,5.000564,5.0,0.0,0.0,0.0
247,2,0,1,2,1,0,0,3.716402,6.0,0.0,0.0,0.0
248,2,0,1,2,1,0,1,3.866907,7.0,0.0,0.0,0.0
249,2,0,1,1,1,0,0,0.7333131,8.0,0.0,0.0,0.0
250,2,0,1,1,1,0,1,3.550377,9.0,0.0,0.0,0.0
251,2,0,1,3,1,0,0,5.500082,10.0,0.0,0.0,0.0
252,2,0,1,3,1,0,1,0.5835016,11.0,0.0,0.0,0.0
253,2,0,1,4,1,0,2,0.0,0.0,0.0,0.0,0.0
254,2,0,0,1,2,0,1,3.267491,1.0,0.0,0.0,0.0
255,2,0,0,0,2,0,1,4.834274,2.0,0.0,0.0,0.0
256,2,0,0,2,2,0,1,3.717795,3.0,0.0,0.0,0.0
257,2,0,0,1,2,0,1,5.049435,4.0,0.0,0.0,0.0
258,2,0,0,3,2,0,1,3.317956,5.0,0.0,0.0,0.0
259,2,0,0,4,2,0,2,0.0,0.0,0.0,0.0,0.0
260,2,0,0,3,2,0,0,3.317956,6.0,0.0,0.0,0.0
261,2,0,2,4,2,0,2,0.0,0.0,0.0,0.0,0.0
262,2,0,9,4,2,0,2,0.0,0.0,0.0,0.0,0.0
263,2,0,13,4,2,0,2,0.0,0.0,0.0,0.0,0.0
264,2,0,2,1,2,0,0,7.971063,1.0,0.0,0.0,0.0
265,2,0,2,1,2,0,0,10.33799,2.0,0.0,0.0,0.0
266,2,0,2,4,2,0,2,0.0,0.0,0.0,0.0,0.0
267,2,0,9,4,2,0,2,0.0,0.0,0.0,0.0,0.0
268,2,0,13,4,2,0,2,0.0,0.0,0.0,0.0,0.0
269,2,0,2,3,1,0,1,6.084849,1.0,0.0,0.0,0.0
270,2,0,2,0,1,0,1,6.251574,2.0,0.0,0.0,0.0
271,2,0,2,1,1,0,1,5.068227,3.0,0.0,0.0,0.0
272,2,0,2,3,1,0,1,3.666729,4.0,0.0,0.0,0.0
273,2,0,2,0,1,0,1,6.031195,5.0,0.0,0.0,0.0
274,2,0,2,4,1,0,2,0.0,0.0,0.0,0.0,0.0
275,2,0,9,4,1,0,2,0.0,0.0,0.0,0.0,0.0
276,2,0,3,2,1,0,1,6.251582,1.0,0.0,0.0,0.0
277,2,0,3,3,1,0,1,3.250466,2.0,0.0,0.0,0.0
278,2,0,3,3,1,0,1,2.333805,3.0,0.0,0.0,0.0
279,2,0,3,3,1,0,1,2.183235,4.0,0.0,0.0,0.0
280,2,0,3,2,1,0,1,3.73448,5.0,0.0,0.0,0.0
281,2,0,3,4,1,0,2,0.0,0.0,0.0,0.0,0.0
282,2,0,9,4,1,0,2,0.0,0.0,0.0,0.0,0.0
283,10,13,8,3,0,0,1,7.224277,1.0,0.0,0.0,0.0
284,10,13,8,3,0,0,0,1.549632,2.0,0.0,0.0,0.0
285,10,13,8,1,0,0,1,3.999977,3.0,0.0,0.0,0.0
286,10,13,8,2,0,0,1,4.584376,4.0,0.0,0.0,0.0
287,10,13,8,0,0,0,1,9.249636,5.0,0.0,0.0,0.0
288,10,13,8,4,0,0,2,0.0,0.0,0.0,0.0,0.0
289,10,13,0,3,0,0,1,9.05202,1.0,0.0,0.0,0.0
290,10,13,0,1,0,0,0,2.583539,2.0,0.0,0.0,0.0
291,10,13,0,1,0,0,1,3.633621,3.0,0.0,0.0,0.0
292,10,13,0,2,0,0,1,2.133594,4.0,0.0,0.0,0.0
293,10,13,0,3,0,0,0,2.350333,5.0,0.0,0.0,0.0
294,10,13,0,3,0,0,1,10.41724,6.0,0.0,0.0,0.0
295,10,13,0,4,0,0,2,0.0,0.0,0.0,0.0,0.0
296,10,13,2,2,0,0,0,8.336003,1.0,0.0,0.0,0.0
297,10,13,2,2,0,0,0,4.4,2.0,0.0,0.0,0.0
298,10,13,2,2,0,0,0,4.4,3.0,0.0,0.0,0.0
299,10,13,2,2,0,0,1,4.4,4.0,0.0,0.0,0.0
300,10,13,2,1,0,0,1,8.300622,5.0,0.0,0.0,0.0
301,10,13,2,1,0,0,0,3.76694,6.0,0.0,0.0,0.0
302,10,13,2,1,0,0,0,8.300881,7.0,0.0,0.0,0.0
303,10,13,2,1,0,0,1,4.4,8.0,0.0,0.0,0.0
304,10,13,2,2,0,0,0,14.96753,9.0,0.0,0.0,0.0
305,10,13,2,2,0,0,1,17.01808,10.0,0.0,0.0,0.0
306,10,13,2,4,0,0,2,0.0,0.0,0.0,0.0,0.0
307,10,13,3,3,0,0,1,7.667146,1.0,0.0,0.0,0.0
308,10,13,3,2,0,0,1,2.900429,2.0,0.0,0.0,0.0
309,10,13,3,1,0,0,1,0.3835117,3.0,0.0,0.0,0.0
310,10,13,3,2,0,0,1,6.334465,4.0,0.0,0.0,0.0
311,10,13,3,4,0,0,2,0.0,0.0,0.0,0.0,0.0
312,10,13,1,1,0,0,0,16.41761,1.0,0.0,0.0,0.0
313,10,13,1,1,0,0,0,16.45275,2.0,0.0,0.0,0.0
314,10,13,1,1,0,0,1,21.66895,3.0,0.0,0.0,0.0
315,10,13,1,3,0,0,0,1.066227,4.0,0.0,0.0,0.0
316,10,13,1,3,0,0,1,7.550242,5.0,0.0,0.0,0.0
317,10,13,1,2,0,0,0,4.4,6.0,0.0,0.0,0.0
318,10,13,1,2,0,0,1,4.4,7.0,0.0,0.0,0.0
319,10,13,1,4,0,0,2,0.0,0.0,0.0,0.0,0.0
320,10,13,9,4,0,0,2,0.0,0.0,0.0,0.0,0.0
321,10,13,11,4,0,0,2,0.0,0.0,0.0,0.0,0.0
322,10,13,4,3,0,1,1,4.4,1.0,0.0,0.0,0.0
323,10,13,4,1,0,1,1,6.400866,2.0,0.0,0.0,0.0
324,10,13,4,2,0,1,0,8.349962,3.0,0.0,0.0,0.0
325,10,13,4,2,0,1,1,4.366689,4.0,0.0,0.0,0.0
326,10,13,4,0,0,1,0,12.48395,5.0,0.0,0.0,0.0
327,10,13,4,0,0,1,1,5.900505,6.0,0.0,0.0,0.0
328,10,13,4,4,0,1,2,0.0,0.0,0.0,0.0,0.0
329,10,13,4,3,1,1,0,0.0,1.0,0.0,0.0,0.0
330,10,13,4,3,1,1,0,0.6171625,2.0,0.0,0.0,0.0
331,10,13,4,3,1,1,0,15.16795,3.0,0.0,0.0,0.0
332,10,13,4,3,1,1,0,16.73412,4.0,0.0,0.0,0.0
333,10,13,4,3,1,1,1,21.14432,5.0,0.0,0.0,0.0
334,10,13,4,1,1,1,0,19.46717,6.0,0.0,0.0,0.0
335,10,13,4,1,1,1,1,11.01722,7.0,0.0,0.0,0.0
336,10,13,4,2,1,1,0,14.11757,8.0,0.0,0.0,0.0
337,10,13,4,2,1,1,0,16.51753,9.0,0.0,0.0,0.0
338,10,13,4,2,1,1,0,20.45166,10.0,0.0,0.0,0.0
339,10,13,4,2,1,1,0,4.4,11.0,0.0,0.0,0.0
340,10,13,4,2,1,1,1,4.4,12.0,0.0,0.0,0.0
341,10,13,4,0,1,1,1,4.4,13.0,0.0,0.0,0.0
342,10,13,4,4,1,1,2,0.0,0.0,0.0,0.0,0.0
343,10,13,4,4,2,1,2,0.0,0.0,0.0,0.0,0.0
344,10,13,9,4,2,1,2,0.0,0.0,0.0,0.0,0.0
